year,Departement,Parti,Score
1988.0,morbihan,ED,12.98
1988.0,morbihan,EG,12.44
1988.0,morbihan,G,34.98
1988.0,moselle,C,16.67
1988.0,moselle,D,16.26
1988.0,moselle,ED,19.91
1988.0,moselle,EG,13.81
1988.0,moselle,G,33.34
1988.0,nievre,C,12.45
1988.0,nievre,D,17.02
1988.0,nievre,ED,9.72
1988.0,nievre,EG,16.27
1988.0,nievre,G,44.53
1988.0,nord,C,15.59
1988.0,nord,D,15.03
1988.0,nord,ED,15.16
1988.0,nord,EG,17.48
1988.0,nord,G,36.74
1988.0,nouvelle-caledonie,C,6.15
1988.0,nouvelle-caledonie,D,74.63
1988.0,nouvelle-caledonie,ED,12.39
1988.0,nouvelle-caledonie,EG,1.85
1988.0,nouvelle-caledonie,G,4.98
1988.0,oise,C,14.05
1988.0,oise,D,17.74
1988.0,oise,ED,16.73
1988.0,oise,EG,14.97
1988.0,oise,G,36.5
1988.0,orne,C,19.32
1988.0,orne,D,23.4
1988.0,orne,ED,11.79
1988.0,orne,EG,11.36
1988.0,orne,G,34.12
1988.0,paris,C,13.6
1988.0,paris,D,31.57
1988.0,paris,ED,13.38
1988.0,paris,EG,11.97
1988.0,paris,G,29.48
1988.0,pas-de-calais,C,13.95
1988.0,pas-de-calais,D,14.51
1988.0,pas-de-calais,ED,11.4
1988.0,pas-de-calais,EG,18.92
1988.0,pas-de-calais,G,41.22
1988.0,polynesie-francaise,C,10.09
1988.0,polynesie-francaise,D,39.91
1988.0,polynesie-francaise,ED,2.91
1988.0,polynesie-francaise,EG,3.2
1988.0,polynesie-francaise,G,43.87
1988.0,puy-de-dome,C,17.46
1988.0,puy-de-dome,D,19.6
1988.0,puy-de-dome,ED,11.58
1988.0,puy-de-dome,EG,17.14
1988.0,puy-de-dome,G,34.21
1988.0,pyrenees-atlantiques,C,18.11
1988.0,pyrenees-atlantiques,D,24.46
1988.0,pyrenees-atlantiques,ED,10.69
1988.0,pyrenees-atlantiques,EG,12.91
1988.0,pyrenees-atlantiques,G,33.83
1988.0,pyrenees-orientales,C,13.39
1988.0,pyrenees-orientales,D,17.81
1988.0,pyrenees-orientales,ED,20.52
1988.0,pyrenees-orientales,EG,16.88
1988.0,pyrenees-orientales,G,31.41
1988.0,rhone,C,21.99
1988.0,rhone,D,17.36
1988.0,rhone,ED,18.03
1988.0,rhone,EG,13.3
1988.0,rhone,G,29.32
1988.0,saint-pierre-et-miquelon,C,14.14
1988.0,saint-pierre-et-miquelon,D,34.98
1988.0,saint-pierre-et-miquelon,ED,4.93
1988.0,saint-pierre-et-miquelon,EG,13.72
1988.0,saint-pierre-et-miquelon,G,32.23
1988.0,saone-et-loire,C,17.18
